1FA6P8JZ4L5552700;GT350®;In Order Processing;JS;85K;Kayser Ford;2303 W Beltline Highway Madison, WI 53713;2020-09-22;;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552701;GT350®;In Order Processing;FM;SLB;AutoNation Ford Katy;20777 Katy Frwy Katy, TX 77450;2020-09-24;;SLB.RWD.99Z.64S.SSR.17F.L59.SED.574.WCC.51H.PDS.19B.ANT.457.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552702;GT350®;In Order Processing;J7;SLB;Dave Sinclair Ford, Inc.;7466 S Lindbergh St Louis, MO 63125;2020-08-31;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552703;GT350®;In Order Processing;FM;SLB;Dave Sinclair Ford, Inc.;7466 S Lindbergh St Louis, MO 63125;2020-08-31;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552704;GT350®;In Order Processing;N4;85E;Damerow Ford;12325 SW Canyon Road Beaverton, OR 97005;2020-10-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.19B.50B.ANT.457.97Q.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552705;GT350®;In Order Processing;J7;85M;Northern Ford;120 West Main Street Cut Bank, MT 59427;2019-10-10;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552706;GT350R;In Order Processing;N4;85E;Brandon Ford;9090 Adamo Drive Tampa, FL 33619;2020-10-06;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZ7L5552707;GT350R;In Order Processing;N4;85E;Dean Sellers Inc;2600 W. Maple Road Troy, MI 48084;2020-10-06;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZ9L5552708;GT350R;In Order Processing;N4;85E;Galpin Ford;15505 Roscoe Blvd North Hills, CA 91343;2020-10-06;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZ0L5552709;GT350R;In Order Processing;N4;85E;Village Ford Inc;23535 Michigan Ave Dearborn, MI 48124;2020-09-10;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZ7L5552710;GT350R;In Order Processing;N4;85E;Village Ford Inc;23535 Michigan Ave Dearborn, MI 48124;2020-09-15;;SLB.RWD.99Z.90L.~VIRTUALPKGPART_A2TA3_153.~VIRTUALPKGPART_BPFAP_156.~VIRTUALPKGPART_BWAAA_157.~VIRTUALPKGPART_D2GB6_162.~VIRTUALPKGPART_GTAA9_165.~VIRTUALPKGPART_XF000P5_166.64B.91N.SSR.912.17F.L59.RAS.SED.574.WCC.59B.21S.13P.RSD.14L.67M.19B.SWR.50B.ANT.457.60M.97Q.67T.583.CSR.T3B.44E.SHB.COU.899.2020 P8J FORD.
1FA6P8JZ9L5552711;GT350®;In Order Processing;L6;SLB;Best Ford;579 Amherst Street Nashua, NH 03063;2020-06-06;;SLB.RWD.99Z.64S.SSR.17F.L59.SED.574.WCC.19B.ANT.457.67L.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
